State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population,Quarter,EV_per_100k_Population,EV_to_Charging_Station_Ratio
Andhra Pradesh,Guntur,2018-01-12,2018,1,2W,Plug-in Hybrid (PHEV),Ather Energy,2,0,53000000,1,0.0038,
Andhra Pradesh,Guntur,2018-01-17,2018,1,3W,Battery Electric (BEV),Mahindra Electric,1,14,53000000,1,0.0019,0.07
Andhra Pradesh,Guntur,2018-01-22,2018,1,Car,Battery Electric (BEV),Mahindra Electric,0,10,53000000,1,0.0,0.0
Andhra Pradesh,Vijayawada,2018-02-18,2018,2,2W,Battery Electric (BEV),Okinawa Autotech,2,5,53000000,1,0.0038,0.4
Andhra Pradesh,Vijayawada,2018-02-20,2018,2,3W,Battery Electric (BEV),Bajaj Auto,0,6,53000000,1,0.0,0.0
Andhra Pradesh,Guntur,2018-02-26,2018,2,Car,Battery Electric (BEV),BYD,0,14,53000000,1,0.0,0.0
Andhra Pradesh,Visakhapatnam,2018-03-08,2018,3,2W,Battery Electric (BEV),Ather Energy,2,17,53000000,1,0.0038,0.12
Andhra Pradesh,Vijayawada,2018-03-08,2018,3,3W,Battery Electric (BEV),Kinetic Green,0,5,53000000,1,0.0,0.0
Andhra Pradesh,Vijayawada,2018-03-18,2018,3,Car,Battery Electric (BEV),Tata Motors,0,6,53000000,1,0.0,0.0
Andhra Pradesh,Visakhapatnam,2018-04-13,2018,4,2W,Battery Electric (BEV),Ola Electric,4,0,53000000,2,0.0075,
Andhra Pradesh,Vijayawada,2018-04-14,2018,4,3W,Battery Electric (BEV),Kinetic Green,0,17,53000000,2,0.0,0.0
Andhra Pradesh,Not Specified,2018-05-10,2018,5,3W,Battery Electric (BEV),Mahindra Electric,0,4,53000000,2,0.0,0.0
Andhra Pradesh,Vijayawada,2018-05-11,2018,5,Commercial,Battery Electric (BEV),Ashok Leyland,0,12,53000000,2,0.0,0.0
Andhra Pradesh,Guntur,2018-05-13,2018,5,2W,Battery Electric (BEV),Hero Electric,3,13,53000000,2,0.0057,0.23
Andhra Pradesh,Guntur,2018-06-07,2018,6,3W,Battery Electric (BEV),YC Electric,0,9,53000000,2,0.0,0.0
Andhra Pradesh,Vijayawada,2018-06-09,2018,6,2W,Battery Electric (BEV),Okinawa Autotech,2,8,53000000,2,0.0038,0.25
Andhra Pradesh,Guntur,2018-07-05,2018,7,2W,Battery Electric (BEV),Hero Electric,1,9,53000000,3,0.0019,0.11
Andhra Pradesh,Vijayawada,2018-07-13,2018,7,Commercial,Battery Electric (BEV),Tata Motors,0,12,53000000,3,0.0,0.0
Andhra Pradesh,Guntur,2018-08-14,2018,8,Car,Battery Electric (BEV),MG Motor,0,6,53000000,3,0.0,0.0
Andhra Pradesh,Guntur,2018-08-16,2018,8,2W,Battery Electric (BEV),Ola Electric,2,15,53000000,3,0.0038,0.13
Andhra Pradesh,Vijayawada,2018-08-22,2018,8,3W,Battery Electric (BEV),Kinetic Green,0,9,53000000,3,0.0,0.0
Andhra Pradesh,Vijayawada,2018-09-12,2018,9,2W,Battery Electric (BEV),TVS Motor,2,2,53000000,3,0.0038,1.0
Andhra Pradesh,Vijayawada,2018-09-26,2018,9,Commercial,Battery Electric (BEV),Tata Motors,0,6,53000000,3,0.0,0.0
Andhra Pradesh,Guntur,2018-10-02,2018,10,2W,Battery Electric (BEV),Bajaj Auto,1,1,53000000,4,0.0019,1.0
Andhra Pradesh,Visakhapatnam,2018-10-22,2018,10,3W,Plug-in Hybrid (PHEV),YC Electric,0,5,53000000,4,0.0,0.0
Andhra Pradesh,Vijayawada,2018-10-27,2018,10,Commercial,Battery Electric (BEV),Eicher Motors,0,0,53000000,4,0.0,
Andhra Pradesh,Visakhapatnam,2018-11-16,2018,11,2W,Battery Electric (BEV),Okinawa Autotech,1,7,53000000,4,0.0019,0.14
Andhra Pradesh,Visakhapatnam,2018-12-18,2018,12,Bus,Battery Electric (BEV),PMI Electro,0,14,53000000,4,0.0,0.0
Andhra Pradesh,Guntur,2018-12-27,2018,12,2W,Battery Electric (BEV),TVS Motor,2,15,53000000,4,0.0038,0.13
Andhra Pradesh,Visakhapatnam,2019-01-13,2019,1,Car,Battery Electric (BEV),MG Motor,1,7,53000000,1,0.0019,0.14
Andhra Pradesh,Vijayawada,2019-01-17,2019,1,Commercial,Battery Electric (BEV),Mahindra Electric,0,10,53000000,1,0.0,0.0
Andhra Pradesh,Vijayawada,2019-01-21,2019,1,2W,Battery Electric (BEV),Hero Electric,3,18,53000000,1,0.0057,0.17
Andhra Pradesh,Visakhapatnam,2019-01-22,2019,1,3W,Battery Electric (BEV),YC Electric,1,1,53000000,1,0.0019,1.0
Andhra Pradesh,Visakhapatnam,2019-02-01,2019,2,3W,Battery Electric (BEV),Bajaj Auto,1,24,53000000,1,0.0019,0.04
Andhra Pradesh,Vijayawada,2019-02-12,2019,2,2W,Battery Electric (BEV),Ola Electric,3,21,53000000,1,0.0057,0.14
Andhra Pradesh,Guntur,2019-03-06,2019,3,Bus,Battery Electric (BEV),Olectra Greentech,0,14,53000000,1,0.0,0.0
Andhra Pradesh,Guntur,2019-03-08,2019,3,Car,Battery Electric (BEV),BYD,0,22,53000000,1,0.0,0.0
Andhra Pradesh,Vijayawada,2019-03-12,2019,3,2W,Battery Electric (BEV),Bajaj Auto,6,15,53000000,1,0.0113,0.4
Andhra Pradesh,Guntur,2019-04-06,2019,4,3W,Plug-in Hybrid (PHEV),Kinetic Green,1,31,53000000,2,0.0019,0.03
Andhra Pradesh,Vijayawada,2019-04-13,2019,4,2W,Battery Electric (BEV),Hero Electric,3,29,53000000,2,0.0057,0.1
Andhra Pradesh,Vijayawada,2019-04-16,2019,4,Car,Battery Electric (BEV),Mahindra Electric,1,12,53000000,2,0.0019,0.08
Andhra Pradesh,Visakhapatnam,2019-05-09,2019,5,2W,Battery Electric (BEV),Hero Electric,3,16,53000000,2,0.0057,0.19
Andhra Pradesh,Guntur,2019-05-10,2019,5,Car,Battery Electric (BEV),Tata Motors,0,22,53000000,2,0.0,0.0
Andhra Pradesh,Visakhapatnam,2019-05-14,2019,5,Bus,Battery Electric (BEV),Tata Motors,0,9,53000000,2,0.0,0.0
Andhra Pradesh,Guntur,2019-05-21,2019,5,3W,Battery Electric (BEV),YC Electric,1,32,53000000,2,0.0019,0.03
Andhra Pradesh,Vijayawada,2019-05-24,2019,5,Commercial,Battery Electric (BEV),Mahindra Electric,0,31,53000000,2,0.0,0.0
Andhra Pradesh,Vijayawada,2019-06-03,2019,6,2W,Battery Electric (BEV),Ather Energy,3,14,53000000,2,0.0057,0.21
Andhra Pradesh,Not Specified,2019-06-09,2019,6,3W,Battery Electric (BEV),Piaggio,0,6,53000000,2,0.0,0.0
Andhra Pradesh,Vijayawada,2019-06-10,2019,6,Car,Battery Electric (BEV),Hyundai,1,19,53000000,2,0.0019,0.05
Andhra Pradesh,Visakhapatnam,2019-07-20,2019,7,2W,Battery Electric (BEV),Okinawa Autotech,3,23,53000000,3,0.0057,0.13
Andhra Pradesh,Vijayawada,2019-08-09,2019,8,Car,Battery Electric (BEV),Mahindra Electric,1,21,53000000,3,0.0019,0.05
Andhra Pradesh,Visakhapatnam,2019-08-14,2019,8,2W,Battery Electric (BEV),TVS Motor,3,18,53000000,3,0.0057,0.17
Andhra Pradesh,Guntur,2019-08-25,2019,8,Bus,Battery Electric (BEV),Ashok Leyland,0,26,53000000,3,0.0,0.0
