State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
West Bengal,Howrah,2022-04-14,2022,4,Car,Battery Electric (BEV),BYD,6,24.0,99000000
Telangana,Warangal,2021-11-09,2021,11,Car,Battery Electric (BEV),Kia,1,62.0,39000000
West Bengal,Kolkata,2024-06-13,2024,6,Car,Battery Electric (BEV),Mahindra Electric,14,93.0,99000000
Assam,Silchar,2022-11-02,2022,11,3W,Battery Electric (BEV),YC Electric,1,25.0,35000000
Assam,Guwahati,2023-09-04,2023,9,2W,Battery Electric (BEV),Bajaj Auto,8,30.0,35000000
Jammu and Kashmir,Jammu,2024-02-08,2024,2,2W,Battery Electric (BEV),TVS Motor,4,32.0,13000000
Tamil Nadu,Salem,2019-06-13,2019,6,2W,Battery Electric (BEV),Hero Electric,6,48.0,77000000
Telangana,Nizamabad,2018-02-05,2018,2,Car,Battery Electric (BEV),BYD,0,13.0,39000000
West Bengal,Howrah,2018-12-27,2018,12,3W,Battery Electric (BEV),Kinetic Green,1,6.0,99000000
Uttar Pradesh,Noida,2020-07-19,2020,7,3W,Battery Electric (BEV),Piaggio,4,61.0,231000000
Goa,South Goa,2023-07-17,2023,7,Car,Battery Electric (BEV),BYD,0,23.0,1600000
Gujarat,Rajkot,2020-11-15,2020,11,3W,Plug-in Hybrid (PHEV),YC Electric,2,40.0,71000000
Delhi,East Delhi,2021-04-14,2021,4,Car,Battery Electric (BEV),Mahindra Electric,1,81.0,32000000
Chhattisgarh,Bilaspur,2024-07-21,2024,7,Car,Battery Electric (BEV),Hyundai,48,49.0,30000000
Telangana,Nizamabad,2024-03-08,2024,3,3W,Battery Electric (BEV),Piaggio,8,150.0,39000000
Andhra Pradesh,Guntur,2018-05-13,2018,5,2W,Battery Electric (BEV),Hero Electric,3,13.0,53000000
Madhya Pradesh,Jabalpur,2018-02-05,2018,2,Car,Battery Electric (BEV),MG Motor,1,17.0,85000000
Gujarat,Vadodara,2023-10-12,2023,10,Bus,Battery Electric (BEV),Ashok Leyland,3,87.0,71000000
Uttarakhand,Haridwar,2024-11-14,2024,11,2W,Battery Electric (BEV),Hero Electric,2,45.0,11000000
Karnataka,Mangaluru,2020-07-14,2020,7,3W,Battery Electric (BEV),Kinetic Green,2 ,42.0,67000000
Karnataka,Hubli,2021-10-04,2021,10,2W,Battery Electric (BEV),Bajaj Auto,16,69.0,67000000
Jammu and Kashmir,Srinagar,2018-02-22,2018,2,Car,Battery Electric (BEV),Tata Motors,0,0.0,13000000
Haryana,Gurugram,2023-12-20,2023,12,Car,Battery Electric (BEV),MG Motor,2,72.0,30000000
Kerala,Kozhikode,2021-08-01,2021,8,3W,Battery Electric (BEV),Kinetic Green,0,40.0,35000000
Rajasthan,Udaipur,2023-08-15,2023,8,Car,Battery Electric (BEV),Tata Motors,7,33.0,81000000
Haryana,,2022-08-23,2022,8,Car,,,1 ,,30000000
Maharashtra,Nagpur,2022-10-17,2022,10,2W,Battery Electric (BEV),Hero Electric,75,44.0,123000000
Karnataka,Mangaluru,2019-06-03,2019,6,Car,Battery Electric (BEV),Kia,2,24.0,67000000
Uttar Pradesh,Noida,2025-05-08,2025,5,3W,Battery Electric (BEV),Kinetic Green,89,135.0,231000000
Uttarakhand,Haridwar,2023-04-17,2023,4,Bus,Battery Electric (BEV),PMI Electro,0,23.0,11000000
Andhra Pradesh,Vijayawada,2022-11-15,2022,11,Bus,Battery Electric (BEV),PMI Electro,0,23.0,53000000
Gujarat,Surat,2023-09-10,2023,9,Bus,Battery Electric (BEV),Ashok Leyland,1,140.0,71000000
Karnataka,,2023-02-02,2023,2,3W,Battery Electric (BEV),Kinetic Green,13,93.0,67000000
Goa,North Goa,2021-07-11,2021,7,Commercial,Battery Electric (BEV),Ashok Leyland,0,26.0,1600000
Maharashtra,Pune,2023-07-11,2023,7,Bus,Battery Electric (BEV),PMI Electro,4,113.0,123000000
Bihar,Bhagalpur,2025-05-25,2025,5,3W,Battery Electric (BEV),Piaggio,14,25.0,128000000
Tamil Nadu,Madurai,2022-01-16,2022,1,Car,Battery Electric (BEV),Mahindra Electric,9,47.0,77000000
Karnataka,Bengaluru Urban,2023-11-27,2023,11,Car,Plug-in Hybrid (PHEV),Hyundai,9,64.0,67000000
Tamil Nadu,Salem,2020-05-07,2020,5,Car,Battery Electric (BEV),MG Motor,1,24.0,77000000
Punjab,Ludhiana,2022-04-14,2022,4,Bus,Battery Electric (BEV),Olectra Greentech,0,50.0,30000000
Himachal Pradesh,Shimla,2018-09-09,2018,9,Bus,Battery Electric (BEV),PMI Electro,0,10.0,7500000
Punjab,Ludhiana,2024-05-20,2024,5,Car,Battery Electric (BEV),Hyundai,3,28.0,30000000
tamil nadu,Salem,2018-10-16,2018,10,Bus,Battery Electric (BEV),Olectra Greentech,0,26.0,77000000
Bihar,Bhagalpur,2019-06-04,2019,6,3W,Battery Electric (BEV),YC Electric,1,18.0,128000000
Haryana,Panipat,2025-05-08,2025,5,2W,Battery Electric (BEV),Hero Electric,20,34.0,30000000
Gujarat,Ahmedabad,2018-01-01,2018,1,Car,Battery Electric (BEV),Kia,1,19.0,71000000
Goa,North Goa,2020-04-21,2020,4,Car,Battery Electric (BEV),MG Motor,0,16.0,1600000
Jharkhand,,2023-12-23,2023,12,2W,Battery Electric (BEV),Okinawa Autotech,9,28.0,39000000
Maharashtra,Thane,2023-02-24,2023,2,Commercial,Battery Electric (BEV),Ashok Leyland,12,81.0,123000000
Punjab,Jalandhar,2022-07-13,2022,7,Car,Battery Electric (BEV),Kia,2,30.0,30000000
Kerala,Kozhikode,2019-08-22,2019,8,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,0,16.0,35000000
Delhi,East Delhi,2019-08-27,2019,8,2W,Battery Electric (BEV),Hero Electric,4,27.0,32000000
Karnataka,Hubli,2020-08-02,2020,8,Car,Battery Electric (BEV),BYD,1,31.0,67000000
Kerala,Thiruvananthapuram,2023-05-09,2023,5,Car,Battery Electric (BEV),Kia,3,73.0,35000000
Andhra Pradesh,Guntur,2021-04-21,2021,4,3W,Battery Electric (BEV),Bajaj Auto,1,47.0,53000000
Madhya Pradesh,Gwalior,2022-08-19,2022,8,Car,Battery Electric (BEV),Tata Motors,2,42.0,85000000
Chhattisgarh,Raipur,2022-07-05,2022,7,Car,Battery Electric (BEV),Kia,1,25.0,30000000
Punjab,Ludhiana,2025-01-20,2025,1,2W,Battery Electric (BEV),TVS Motor,13,84.0,30000000
Maharashtra,Pune,2022-08-27,2022,8,Bus,Battery Electric (BEV),Olectra Greentech,2,40.0,123000000
Telangana,Hyderabad,2022-04-09,2022,4,3W,Battery Electric (BEV),Piaggio,5,95.0,39000000
Chhattisgarh,Raipur,2023-02-05,2023,2,2W,Battery Electric (BEV),Hero Electric,8,17.0,30000000
Punjab,Ludhiana,2025-05-15,2025,5,Commercial,Battery Electric (BEV),Tata Motors,2,48.0,30000000
Bihar,Bhagalpur,2023-10-26,2023,10,3W,Battery Electric (BEV),Mahindra Electric,4,32.0,128000000
Gujarat,Rajkot,2021-05-01,2021,5,Car,Battery Electric (BEV),BYD,2,81.0,71000000
Maharashtra,Mumbai City,2024-03-11,2024,3,2W,Battery Electric (BEV),Ola Electric,99,91.0,123000000
Punjab,Amritsar,2023-01-07,2023,1,Car,Battery Electric (BEV),Mahindra Electric,2,26.0,30000000
Chandigarh,Chandigarh,2023-05-07,2023,5,3W,Battery Electric (BEV),YC Electric,0,17.0,1200000
Himachal Pradesh,Shimla,2024-10-07,2024,10,2W,Battery Electric (BEV),Hero Electric,1,23.0,7500000
Uttar Pradesh,Noida,2022-11-08,2022,11,2W,Battery Electric (BEV),TVS Motor,101,68.0,231000000
Punjab,Amritsar,2023-11-18,2023,11,2W,Battery Electric (BEV),Okinawa Autotech,11,38.0,30000000
Uttar Pradesh,,2021-11-12,2021,11,Commercial,,,3,,231000000
Goa,North Goa,2023-01-11,2023,1,2W,Battery Electric (BEV),Hero Electric,0,23.0,1600000
Tamil Nadu,Chennai,2022-06-20,2022,6,2W,Battery Electric (BEV),Okinawa Autotech,20,54.0,77000000
Goa,South Goa,2024-09-22,2024,9,Bus,Battery Electric (BEV),PMI Electro,0,22.0,1600000
Maharashtra,Mumbai City,2024-08-25,2024,8,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,13,62.0,123000000
Karnataka,Mangaluru,2019-06-15,2019,6,3W,Battery Electric (BEV),Kinetic Green,1,20.0,67000000
Kerala,,2021-03-26,2021,3,2W,,,6,,35000000
Kerala,Kozhikode,2020-04-21,2020,4,3W,Battery Electric (BEV),Mahindra Electric,0,27.0,35000000
Haryana,Panipat,2021-01-05,2021,1,Car,Battery Electric (BEV),MG Motor,1,43.0,30000000
Tamil Nadu,Salem,2019-06-22,2019,6,Commercial,Plug-in Hybrid (PHEV),Mahindra Electric,1,24.0,77000000
Telangana,Warangal,2023-08-22,2023,8,Car,Battery Electric (BEV),Tata Motors,6,77.0,39000000
Gujarat,Surat,2018-09-08,2018,9,3W,Battery Electric (BEV),Bajaj Auto,1,18.0,71000000
Kerala,Ernakulam,2023-10-17,2023,10,2W,Battery Electric (BEV),TVS Motor,15,49.0,35000000
Telangana,Warangal,2023-05-24,2023,5,Bus,Battery Electric (BEV),Ashok Leyland,1,94.0,39000000
Haryana,Panipat,2022-09-08,2022,9,2W,Battery Electric (BEV),Bajaj Auto,8,38.0,30000000
Rajasthan,Jaipur,2024-05-19,2024,5,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,4,69.0,81000000
Haryana,Faridabad,2019-09-15,2019,9,Commercial,Battery Electric (BEV),Eicher Motors,0,22.0,30000000
Rajasthan,Jaipur,2021-07-25,2021,7,Commercial,Battery Electric (BEV),Eicher Motors,1,30.0,81000000
New Delhi,East Delhi,2020-03-05,2020,3,Bus,Battery Electric (BEV),Tata Motors,0,59.0,32000000
Madhya Pradesh,Bhopal,2021-11-20,2021,11,Commercial,Battery Electric (BEV),Tata Motors,1,36.0,85000000
Jharkhand,Dhanbad,2025-04-11,2025,4,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,1,39.0,39000000
Andhra Pradesh,Guntur,2023-04-25,2023,4,3W,Battery Electric (BEV),YC Electric,4,43.0,53000000
Telangana,Warangal,2023-10-20,2023,10,Commercial,Battery Electric (BEV),Ashok Leyland,3,79.0,39000000
Assam,Silchar,2019-03-16,2019,3,3W,Plug-in Hybrid (PHEV),Mahindra Electric,0,8.0,35000000
Punjab,Jalandhar,2024-04-21,2024,4,3W,Battery Electric (BEV),Bajaj Auto,3,80.0,30000000
Uttar Pradesh,Noida,2019-11-04,2019,11,2W,Battery Electric (BEV),TVS Motor,30,17.0,231000000
Delhi,New Delhi,2024-01-20,2024,1,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,3,72.0,32000000
Madhya Pradesh,Jabalpur,2023-02-06,2023,2,2W,Battery Electric (BEV),Ather Energy,33,89.0,85000000
Madhya Pradesh,Jabalpur,2023-12-08,2023,12,Bus,Plug-in Hybrid (PHEV),Tata Motors,1,33.0,85000000
Bihar,Patna,2023-12-13,2023,12,Car,Battery Electric (BEV),MG Motor,2,26.0,128000000
West Bengal,Durgapur,2024-01-24,2024,1,Bus,Battery Electric (BEV),Tata Motors,1,42.0,99000000
New Delhi,East Delhi,2023-06-12,2023,6,Car,Battery Electric (BEV),Kia,3,127.0,32000000
